regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
-1,0.006135146,0.0044083977,0.015727539,0.6492166,0.30604926,0.024344873,0.0046617757
2,0.0063554533,0.004637963,0.005554728,0.41305596,0.418376,0.0017249957,0.16128825
0,0.004411378,0.0033370375,0.06123711,0.4657999,0.3461069,0.09061376,0.03624236
0,0.002357805,0.0029750615,0.06052808,0.46195918,0.3479448,0.092032276,0.037535645
0,0.0016783822,0.0025876947,0.060405027,0.46815723,0.35199088,0.08390442,0.035542462
0,0.00086196663,0.00244505,0.050124157,0.50274146,0.3525688,0.06652369,0.02804189
0,0.0013353769,0.002640957,0.05252572,0.4966632,0.35450825,0.06869611,0.02760664
-1,0.0070645693,0.0045341775,0.018055908,0.6208729,0.32661086,0.028094865,0.006365512
2,0.0071891462,0.00499133,0.0063453964,0.41327956,0.42021188,0.0020458994,0.1581173
0,0.0023596033,0.0034940806,0.06584179,0.44637105,0.3410753,0.101077646,0.045634214
0,0.0018817931,0.0027396479,0.06414427,0.44789478,0.34935722,0.09678189,0.04182182
0,0.0009891465,0.0024559451,0.056046456,0.4764488,0.35467646,0.078616045,0.034212206
0,0.0014345337,0.0023048902,0.04924749,0.50120854,0.35487267,0.06651644,0.02815484
0,0.0008983424,0.0026128322,0.053189646,0.48984492,0.35893428,0.069709376,0.028321857
-1,0.0027952984,0.004438353,0.023336658,0.598183,0.33561474,0.03384288,0.009022702
0,0.0028152196,0.0046077697,0.073101886,0.4283709,0.33409023,0.112565555,0.051871452
0,0.0018835538,0.0027767657,0.050555836,0.5065558,0.34151042,0.07539157,0.02598633
0,0.001771745,0.0022599332,0.04976436,0.50753087,0.34624457,0.07209449,0.024365738
0,0.0007134702,0.0020193737,0.0474769,0.52005273,0.34459373,0.065308124,0.022568455
0,0.000713789,0.0019519482,0.046688434,0.5260472,0.34396216,0.06184711,0.02145505
0,0.00094164273,0.0022157521,0.04593323,0.52870184,0.34269947,0.061248276,0.021417152
-1,0.0016115423,0.003607032,0.017041206,0.6433378,0.30935833,0.0254027,0.0048599737
0,0.0017587772,0.0037983134,0.060875695,0.4846935,0.336146,0.08709383,0.031190975
0,0.0015172672,0.0025652964,0.047586795,0.5097753,0.34935844,0.069789805,0.023489699
0,0.001231342,0.0021115637,0.044167373,0.52225816,0.35004696,0.0622102,0.021317307
0,0.0023623174,0.0019690571,0.041513294,0.53616816,0.34828034,0.055065908,0.018972259
0,0.0016821927,0.0021194161,0.04252316,0.5363427,0.3450209,0.055894423,0.020218875
0,0.002978822,0.0026935895,0.051055796,0.51024085,0.34422404,0.068948016,0.02553129
-1,0.0031791416,0.003835655,0.01823874,0.6304006,0.31612343,0.029429698,0.00580753
0,0.0036199896,0.0040336847,0.058103267,0.48578554,0.33900014,0.08652681,0.030584272
0,0.0021146238,0.0029714238,0.054514267,0.48175704,0.34808272,0.08368611,0.03195984
0,0.0017586224,0.002389152,0.053818054,0.48189896,0.35753354,0.078189656,0.028559798
0,0.000981383,0.0021990472,0.046612587,0.5077824,0.3559621,0.06478391,0.02485903
0,0.00079470244,0.0021086242,0.047848757,0.51104623,0.35565662,0.06215417,0.023294253
0,0.0021502806,0.0024376004,0.049236037,0.50802374,0.35780308,0.061890867,0.023046277
-1,0.0034198428,0.0040934207,0.018322954,0.62477034,0.32175118,0.028891457,0.006264014
0,0.003491756,0.004190591,0.06801469,0.4493535,0.34502298,0.099471904,0.038136933
0,0.0011314038,0.0029140092,0.061687816,0.458494,0.34707713,0.09405898,0.03868206
0,0.0016944159,0.0022639139,0.057167623,0.46821845,0.35627595,0.083970174,0.03436783
0,0.0009562091,0.0020926455,0.0502856,0.49328804,0.35737786,0.07030656,0.028741978
0,0.00085031765,0.0020157401,0.04750662,0.50628126,0.35659948,0.06357128,0.026041277
0,0.0019095398,0.002389594,0.05044233,0.4987063,0.35581365,0.06719972,0.027838042
-1,0.006324858,0.0040130364,0.023626117,0.5960407,0.3350062,0.035815783,0.009511134
2,0.0062736296,0.0042384034,0.0064688637,0.40668356,0.42818826,0.002067365,0.15659192
